,Ax1,Ay1,Az1
0,0.993896,-0.160645,0.196533
1,1.009521,-0.166992,0.179443
2,0.993652,-0.163086,0.195068
3,0.989746,-0.164307,0.167969
4,0.978516,-0.188721,0.171631
5,0.944336,-0.260498,0.218506
6,1.067383,-0.081299,0.200439
7,0.99292,-0.079102,0.228271
8,1.182617,-0.138184,0.405518
9,0.907227,-0.090576,0.085938
10,0.912598,-0.190918,0.303223
11,1.2854,-0.248047,0.454834
12,0.593018,-0.105957,0.040039
13,0.88208,-0.093262,0.337891
14,1.571045,-0.356934,-0.178955
15,0.784668,-0.230713,0.104736
16,1.473633,-0.328613,0.548828
17,0.945313,-0.2146,0.038574
18,1.013672,-0.3396,0.085205
19,1.023438,-0.243896,-0.333984
20,0.748047,-0.334961,-0.085205
21,0.966309,-0.421387,-0.022949
22,1.340332,-0.24585,-0.139404
23,0.912109,-0.288574,-0.102051
24,1.320801,-0.594971,0.200928
25,0.788086,-0.221191,-0.172607
26,0.895996,-0.369141,0.121338
27,1.108643,-0.224609,-0.275635
28,0.778809,-0.267334,-0.107422
29,1.334961,-0.215088,0.078125
30,0.9021,-0.179199,-0.044434
31,0.966797,-0.335205,-0.042969
32,1.075195,-0.183594,-0.331787
33,0.682373,-0.104492,-0.143066
34,1.074951,-0.294678,0.043213
35,1.333496,-0.286133,-0.400146
36,0.993652,-0.330811,-0.075684
37,1.114746,-0.285645,0.073975
38,1.174561,-0.360107,-0.154297
39,1.084961,-0.188232,-0.056396
40,1.295654,-0.460449,0.155762
41,0.874756,-0.212646,0.07373
42,0.958252,-0.308838,0.057129
43,0.952881,-0.304443,-0.138672
44,0.527344,-0.061035,-0.020752
45,0.958984,-0.252686,0.116455
46,1.430176,-0.44043,-0.546143
47,0.753662,-0.187744,-0.085205
48,1.208984,-0.265625,0.126709
49,0.869629,-0.296143,0.009033
50,0.983887,-0.198486,0.11792
51,1.109619,-0.347656,-0.312744
52,0.546631,-0.18335,-0.152832
53,0.923828,-0.208984,0.042969
54,1.438965,-0.178955,-0.268311
55,0.885254,-0.172119,-0.119629
56,1.266846,-0.299805,0.127197
57,1.146484,-0.29126,-0.1521
58,0.971191,-0.306396,0.024414
59,1.041992,-0.239502,-0.071533
60,0.596924,-0.162842,-0.209961
61,0.97583,-0.221924,-0.020508
62,1.128418,-0.251221,-0.51709
63,0.633789,-0.231201,-0.179688
64,0.960449,-0.169922,0.039307
65,1.726318,-0.293457,-0.536133
66,1.071289,-0.182373,0.032715
67,1.046143,-0.06958,0.181152
68,1.112549,-0.369629,-0.23999
69,0.922607,-0.321289,-0.085938
70,1.2854,-0.362061,0.127441
71,1.098633,-0.42041,-0.065674
72,1.009033,-0.243652,-0.009521
73,1.210205,-0.381592,-0.053223
74,0.718262,-0.241699,-0.124756
75,0.94165,-0.247803,0.052979
76,1.070557,-0.504883,-0.473389
77,0.805664,-0.187256,-0.064697
78,0.993652,-0.225586,0.036621
79,0.909424,-0.101563,-0.380127
80,0.900146,-0.387207,-0.003174
81,1.228516,-0.391602,0.061035
82,1.066162,-0.321289,0.07666
83,0.982666,-0.196045,-0.065918
84,1.022949,-0.33252,0.218262
85,0.904541,-0.3396,-0.099854
86,0.870605,-0.280762,0.108887
87,0.889893,-0.250244,-0.495605
88,0.919434,-0.252197,-0.002197
89,1.091797,-0.251465,0.015625
90,0.922119,-0.227051,-0.259766
91,0.924316,-0.532471,-0.072266
92,1.391602,-0.522705,0.212158
93,0.871338,-0.374268,-0.058594
94,0.943359,-0.461914,0.057373
95,0.915771,-0.279541,-0.061279
96,0.521973,-0.23877,-0.201172
97,0.965332,-0.293213,-0.07666
98,1.089844,-0.076416,-0.234619
99,0.934814,-0.093994,-0.080078
100,1.236084,-0.121582,0.100098
101,1.036621,-0.096924,-0.068604
102,0.959473,-0.575439,-0.271729
103,1.205811,-0.373291,0.122314
104,1.02417,-0.55542,-0.119385
105,1.036621,-0.199463,-0.11499
106,1.441162,-0.056396,0.292969
107,1.030029,-0.343994,0.011963
108,0.812744,-0.416016,0.011719
109,0.816406,-0.189209,0.036621
110,0.787598,-0.361328,-0.102539
111,1.000732,-0.320313,0.022949
112,1.108154,-0.277588,-0.47998
113,0.747803,-0.349854,-0.061035
114,1.185791,-0.388428,0.063232
115,1.145752,-0.381348,0.330078
116,0.898438,-0.176514,-0.037598
117,1.125244,-0.364014,0.203613
118,0.827637,-0.345703,-0.139893
119,0.937256,-0.296631,0.090576
120,1.092529,-0.467041,-0.515381
121,0.961426,-0.265625,-0.013672
122,0.976074,-0.293945,0.053955
123,0.907715,-0.148438,-0.263184
124,0.843506,-0.3479,-0.033691
125,1.287842,-0.413818,0.124268
126,1.153809,-0.367188,-0.102539
127,1.00708,-0.246338,-0.033691
128,1.256592,-0.672607,0.066406
129,0.798096,-0.207275,-0.131104
130,0.932373,-0.365234,0.034424
131,1.158447,-0.233643,-0.138428
132,0.931152,-0.260498,-0.174805
133,1.037842,-0.340088,0.037109
134,1.017578,-0.274658,-0.347412
135,0.755371,-0.363281,-0.112061
136,1.007568,-0.310547,-0.036377
137,0.745361,-0.154785,-0.346191
138,0.979004,-0.187256,-0.020508
139,1.275879,-0.174072,0.036133
140,1.09082,-0.668457,-0.080811
141,0.878418,-0.400391,0.062744
142,0.952393,-0.291016,-0.164795
143,0.672363,0.023193,-0.016113
144,0.898682,-0.310059,0.073975
145,0.929199,-0.433105,-0.34375
146,0.959473,-0.424072,-0.006104
147,1.18457,-0.499023,0.137939
148,0.634766,-0.276367,-0.073242
149,0.963135,-0.36084,0.017822
150,1.075195,-0.247314,-0.494873
151,0.690186,-0.304443,-0.030762
152,0.998779,-0.34082,-0.014648
153,1.199219,-0.45752,-0.026611
154,0.984863,-0.255615,-0.02417
155,1.209473,-0.490479,-0.151367
156,0.642578,-0.301025,-0.161133
157,0.901855,-0.306885,-0.012451
158,1.029541,-0.181396,-0.303467
159,0.895996,-0.183838,-0.087646
160,1.129639,-0.52417,-0.095703
161,1.136475,-0.403076,-0.136719
162,0.862793,-0.366211,-0.076416
163,1.095947,-0.342285,0.019531
164,0.839844,-0.35376,-0.16626
165,1.046875,-0.287109,0.003662
166,0.88501,-0.23877,-0.198486
167,0.623047,-0.272461,-0.231201
168,0.966309,-0.253418,-0.016113
169,1.19751,-0.360352,-0.522705
170,0.705078,-0.205811,0.054688
171,1.287354,-0.164551,0.020508
172,1.366943,-0.201904,-0.110107
173,1.046143,-0.533691,-0.073486
174,1.179199,-0.491455,-0.165039
175,0.706055,-0.258789,-0.101807
176,0.898438,-0.317383,-0.025635
177,1.20459,-0.411865,-0.675537
178,0.649902,-0.257324,-0.111572
179,1.010986,-0.266113,-0.045166
180,0.828369,-0.27832,-0.018066
181,1.0,-0.201904,-0.121582
182,1.169189,-0.434814,0.095947
183,1.294922,-0.442627,-0.164795
184,0.96582,-0.334717,0.027832
185,1.086914,-0.371338,-0.280029
186,0.594727,-0.146973,-0.022217
187,0.864014,-0.248779,0.046631
188,0.991699,-0.326904,-0.492188
189,0.769775,-0.274902,0.035645
190,0.980713,-0.26001,-0.04126
191,1.24585,-0.388672,-0.091309
192,1.096191,-0.181152,-0.090088
193,1.413086,-0.579834,0.104736
194,0.901123,-0.095459,-0.198242
195,0.918945,-0.322021,-0.007813
196,1.127441,-0.321045,-0.176514
197,0.655518,-0.089844,-0.060791
198,0.926514,-0.128662,0.004883
199,1.034668,-0.153564,-0.400635
200,0.774414,-0.255615,-0.227051
